,,,,,,,,,,,,,,
,,,,,,https://nyxcable.com/product/ysly-jz/,,,,,,ปรับตารางและใส่ราคาตั้ง,,
,,,,,,,,,,,,,,
Part NO.,,,,,Core x Conductor,Model,NO. of strands x,Outer ,Cu Weight,Weight,Conductor Resistance,ราคา,,
,,,,, Size (mm2),,Max strand Dia.(mm),Dia. (mm),(kg/km),(kg/km),@ 20oC (Ohm/km),บาทต่อเมตร,,Link เดิม
424010 500211,สายคอนโทรล YSLY-OZ,ysly-oz,2x0.5,,2X0.5,สายคอนโทรล YSLY-OZ 2X0.5,16x0.20,4.9,9.6,38,39.0,14.44,,https://nyxcable.com/สายคอนโทรล/ysly-oz-2x0.5/
424020 500311,สายคอนโทรล YSLY-JZ,ysly-jz,3g0.5,,3G0.5,สายคอนโทรล YSLY-JZ 3G0.5,16x0.20,5.2,14.4,47,39.0,19.54,,https://nyxcable.com/สายคอนโทรล/ysly-jz-3g0.5/
424020 500411,สายคอนโทรล YSLY-JZ,ysly-jz,4g0.5,,4G0.5,สายคอนโทรล YSLY-JZ 4G0.5,16x0.20,5.7,19.2,58,39.0,24.37,,https://nyxcable.com/สายคอนโทรล/ysly-jz-4g0.5/
424020 500511,สายคอนโทรล YSLY-JZ,ysly-jz,5g0.5,,5G0.5,สายคอนโทรล YSLY-JZ 5G0.5,16x0.20,6.0,24.0,75,39.0,30.34,,https://nyxcable.com/สายคอนโทรล/ysly-jz-5g0.5/
424020 500611,สายคอนโทรล YSLY-JZ,ysly-jz,6g0.5,,6G0.5,สายคอนโทรล YSLY-JZ 6G0.5,16x0.20,6.5,28.8,89,39.0,40.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-6g0.5/
424020 500711,สายคอนโทรล YSLY-JZ,ysly-jz,7g0.5,,7G0.5,สายคอนโทรล YSLY-JZ 7G0.5,16x0.20,7.1,33.6,93,39.0,44.58,,https://nyxcable.com/สายคอนโทรล/ysly-jz-7g0.5/
424020 500811,สายคอนโทรล YSLY-JZ,ysly-jz,8g0.5,,8G0.5,สายคอนโทรล YSLY-JZ 8G0.5,16x0.20,7.7,38.4,110,39.0,51.40,,https://nyxcable.com/สายคอนโทรล/ysly-jz-8g0.5/
424020 501011,สายคอนโทรล YSLY-JZ,ysly-jz,10g0.5,,10G0.5,สายคอนโทรล YSLY-JZ 10G0.5,16x0.20,8.6,48.0,140,39.0,64.42,,https://nyxcable.com/สายคอนโทรล/ysly-jz-10g0.5/
